director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Amy Heckerling,Jennifer Jason Leigh,Judge Reinhold,Vincent Schiavelli,Comedy Drama,fast times at ridgemont high,jennifer jason leigh judge reinhold vincent schiavelli amy heckerling comedy drama
John Huston,Royal Dano,Richard Basehart,James Robertson Justice,Adventure Drama,moby dick,royal dano richard basehart james robertson justice john huston adventure drama
Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,Drama,25th hour,philip seymour hoffman rosario dawson aaron stanford spike lee drama
,Dan Fogler,Indiana Evans,KaDee Strickland,Crime Drama,secrets and lies            ,
Lana Wachowski,Christopher Meloni,Kevin Michael Richardson,Peter Spellos,Crime Drama Romance Thriller,bound,christopher meloni kevin michael richardson peter spellos lana wachowski crime drama romance thriller
Darren Aronofsky,Ellen Burstyn,Mark Margolis,Louise Lasser,Drama,requiem for a dream,ellen burstyn mark margolis louise lasser darren aronofsky drama
Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,Musical Romance,state fair,dana andrews jeanne crain frank mchugh walter lang musical romance
Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,Drama Musical,tango,mía maestro juan luis galiardo miguel ángel solá carlos saura drama musical
Oliver Stone,Jim Belushi,John Savage,Juan Fernández,Drama History Thriller War,salvador,jim belushi john savage juan fernández oliver stone drama history thriller war
Andrew Erwin,Alex Kendrick,Sarah Drew,Patricia Heaton,Comedy,moms' night out,alex kendrick sarah drew patricia heaton andrew erwin comedy
Richard Kelly,Jake Gyllenhaal,Mary McDonnell,James Duval,Drama Sci-Fi Thriller,donnie darko,jake gyllenhaal mary mcdonnell james duval richard kelly drama sci-fi thriller
Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,Adventure Comedy Western,saving private perez,jaime camil gerardo taracena joaquín cosio beto gómez adventure comedy western
Mike van Diem,Jan Decleir,Fedja van Huêt,Hans Kesting,Crime Drama Mystery,character,jan decleir fedja van huêt hans kesting mike van diem crime drama mystery
Jonas Åkerlund,Patrick Fugit,Nicholas Gonzalez,Debbie Harry,Comedy Crime Drama,spun,patrick fugit nicholas gonzalez debbie harry jonas åkerlund comedy crime drama
Todd Solondz,Rich Pecci,Shirley Henderson,Charlotte Rampling,Comedy Drama,life during wartime,rich pecci shirley henderson charlotte rampling todd solondz comedy drama
Chan-wook Park,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang,Crime Drama,lady vengeance,min-sik choi yeong-ae lee hye-jeong kang chan-wook park crime drama
René Féret,Nicolas Giraud,Clovis Fouin,Marie Féret,Biography Drama Music Romance,mozart's sister,nicolas giraud clovis fouin marie féret rené féret biography drama music romance
Barry Skolnick,Jason Statham,Jason Flemyng,Danny Dyer,Comedy Drama Sport,mean machine,jason statham jason flemyng danny dyer barry skolnick comedy drama sport
Johnnie To,Simon Yam,Anthony Chau-Sang Wong,Josie Ho,Action Crime Thriller,exiled,simon yam anthony chau-sang wong josie ho johnnie to action crime thriller
Mateo Gil,Sam Shepard,Dominique McElligott,Stephen Rea,Action Adventure Western,blackthorn,sam shepard dominique mcelligott stephen rea mateo gil action adventure western
Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Lyubov Agapova,Crime Drama,lilya 4-ever,oksana akinshina artyom bogucharskiy lyubov agapova lukas moodysson crime drama
Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,Drama Horror Mystery Thriller,after.life,liam neeson josh charles chandler canterbury agnieszka wojtowicz-vosloo drama horror mystery thriller
Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia,Drama Thriller,fugly,jimmy shergill sana saeed dimple kapadia kabir sadanand drama thriller
Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,Drama,one flew over the cuckoo's nest,scatman crothers michael berryman louise fletcher milos forman drama
Peter DeLuise,Katherine McNamara,Dove Cameron,Braeden Lemasters,Comedy,r.l. stine's monsterville: the cabinet of souls,katherine mcnamara dove cameron braeden lemasters peter deluise comedy
Mel Brooks,Sid Caesar,Dom DeLuise,Bernadette Peters,Comedy Romance,silent movie,sid caesar dom deluise bernadette peters mel brooks comedy romance
Raja Menon,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,Action Drama History Thriller War,airlift,nimrat kaur sameer ali khan purab kohli raja menon action drama history thriller war
,Zack Ward,Jonathan Crombie,Megan Follows,Drama Family,anne of green gables            ,
Ernie Barbarash,Michael Jai White,Michael J. Morris,Lateef Crowder,Action Adventure,falcon rising,michael jai white michael j. morris lateef crowder ernie barbarash action adventure
Nick Love,Hayley Atwell,Ray Winstone,Alan Ford,Action Crime Drama,the sweeney,hayley atwell ray winstone alan ford nick love action crime drama
Jonathan Glazer,Ray Winstone,James Fox,Amanda Redman,Crime Thriller,sexy beast,ray winstone james fox amanda redman jonathan glazer crime thriller
Daniel Espinosa,Fabian Bolin,Fares Fares,Matias Varela,Action Crime Drama Thriller,easy money,fabian bolin fares fares matias varela daniel espinosa action crime drama thriller
Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Tammy Davis,Drama Family,whale rider,keisha castle-hughes rawiri paratene tammy davis niki caro drama family
R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,Comedy Drama,paa,vidya balan abhishek bachchan paresh rawal r. balki comedy drama
Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery Sci-Fi Thriller,cargo,yangzom brauen claude-oliver rudolph anna katharina schwabroh ivan engler mystery sci-fi thriller
